Episode,Titre,Date,Note IMDb,Description
Épisode 15,S2.E15 ∙ The One Where Ross and Rachel... You Know,"jeu., 8 févr. 1996","8,7/10",Monica becomes infatuated with a friend of her parents when she caters a party for him. Ross and Rachel go on their first date. Joey and Chandler refuse to move when they get a new TV and two armchairs.
Épisode 16,S2.E16 ∙ The One Where Joey Moves Out,"jeu., 15 févr. 1996","8,5/10",Joey and Chandler's friendship is jeopardized when Joey decides to move out. Monica worries about her parents finding out about her relationship with Richard when they attend a party together. Rachel and Phoebe go to get tattoos.
Épisode 17,S2.E17 ∙ The One Where Eddie Moves In,"jeu., 22 févr. 1996","8,1/10","Chandler gets a new roommate. Phoebe gets the chance to make a music video for her song ""Smelly Cat"". Ross and Monica clash when he is always at her and Rachel's apartment."
Épisode 18,S2.E18 ∙ The One Where Dr. Ramoray Dies,"jeu., 21 mars 1996","8,3/10","Joey's soap opera character is killed off after he brags in an interview that he writes his own lines. Chandler is unnerved by Eddie's strange behavior, while Ross and Rachel compare their past lovers as do Richard and Monica."
Épisode 19,S2.E19 ∙ The One Where Eddie Won't Go,"jeu., 28 mars 1996","8,3/10","Chandler demands that Eddie move out; however, he doesn't seem to get the message. Meanwhile, a book on empowerment for women inspires the girls. In order to pay his bills, Ross convinces Joey to audition for a role he doesn't want."
Épisode 20,S2.E20 ∙ The One Where Old Yeller Dies,"jeu., 4 avr. 1996","8,0/10",Phoebe's world view is shattered when she learns how Old Yeller really ends. Monica becomes jealous when Richard starts hanging out with Chandler and Joey. Rachel panics when she learns that Ross has planned their whole life together.
Épisode 21,S2.E21 ∙ The One with the Bullies,"jeu., 25 avr. 1996","7,9/10",Chandler and Ross run into two bullies at Central Perk. Monica tries her luck at the stock market to avoid taking a job at a 1950s themed diner. Phoebe drives upstate for a second time to meet her father while Joey and Rachel accompany her.
Épisode 22,S2.E22 ∙ The One with the Two Parties,"jeu., 2 mai 1996","8,9/10","Chaos ensues when Rachel's recently divorced parents show up at her surprise birthday party, so the gang has to find ways to keep her parents separated otherwise they'll start fighting."
Épisode 23,S2.E23 ∙ The One with the Chicken Pox,"jeu., 9 mai 1996","7,9/10",Phoebe catches chicken pox just as an old flame arrives in town on leave from the Navy. Joey gets a job at Chandler's office. Monica is upset that Richard doesn't have any quirks.
Épisode 24,S2.E24 ∙ The One with Barry and Mindy's Wedding,"jeu., 16 mai 1996","8,1/10",Rachel reluctantly agrees to be maid of honor at her ex-fiancé Barry's wedding. Monica ponders her future with Richard. Joey has to practice kissing guys to get a role in Warren Beatty's new movie but Ross and Chandler are unwilling to help him.
