order_id;order_date;ship_date;ship_mode;customer_id;sales_rep;location_id;product_id;sales;quantity;discount;profit;order_serial_id
US-2017-156909;2017-07-16;2017-07-18;Second Class;SF-20065;Organic;19140,Philadelphia;FUR-CH-10002774;71.37;2;0.3;-1.02;24
CA-2015-106320;2015-09-25;2015-09-30;Standard Class;EB-13870;Organic;84057,Orem;FUR-TA-10000577;1044.63;3;0.0;240.26;25
CA-2016-121755;2016-01-16;2016-01-20;Second Class;EH-13945;Organic;90049,Los Angeles;OFF-BI-10001634;11.65;2;0.2;4.22;26
CA-2016-121755;2016-01-16;2016-01-20;Second Class;EH-13945;Organic;90049,Los Angeles;TEC-AC-10003027;90.57;3;0.0;11.77;27
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Organic;19140,Philadelphia;FUR-BO-10004834;3083.43;7;0.5;-1665.05;28
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Organic;19140,Philadelphia;OFF-BI-10000474;9.62;2;0.7;-7.05;29
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Organic;19140,Philadelphia;FUR-FU-10004848;124.2;3;0.2;15.53;30
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Organic;19140,Philadelphia;OFF-EN-10001509;3.26;2;0.2;1.1;31
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Organic;19140,Philadelphia;OFF-AR-10004042;86.3;6;0.2;9.71;32
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21520;Organic;19140,Philadelphia;OFF-BI-10001525;6.86;6;0.7;-5.72;33
US-2015-150630;2015-09-17;2015-09-21;Standard Class;TB-21521;Organic;19140,Philadelphia;OFF-AR-10001683;15.76;2;0.2;3.55;34
CA-2017-107727;2017-10-19;2017-10-23;Second Class;MA-17560;Organic;77095,Houston;OFF-PA-10000249;29.47;3;0.2;9.95;35
CA-2016-117590;2016-12-08;2016-12-10;First Class;GH-14485;Alan Ray;75080,Richardson;TEC-PH-10004977;1097.54;7;0.2;123.47;36
CA-2016-117590;2016-12-08;2016-12-10;First Class;GH-14485;Jessica Smith;75080,Richardson;FUR-FU-10003664;190.92;5;0.6;-147.96;37
CA-2015-117415;2015-12-27;2015-12-31;Standard Class;SN-20710;Organic;77041,Houston;OFF-EN-10002986;113.33;9;0.2;35.42;38
CA-2015-117415;2015-12-27;2015-12-31;Standard Class;SN-20710;Organic;77041,Houston;FUR-BO-10002545;532.4;3;0.32;-46.98;39
CA-2015-117415;2015-12-27;2015-12-31;Standard Class;SN-20710;Erica Jones;77041,Houston;FUR-CH-10004218;212.06;3;0.3;-15.15;40
CA-2015-117415;2015-12-27;2015-12-31;Standard Class;SN-20710;Organic;77041,Houston;TEC-PH-10000486;371.17;4;0.2;41.76;41
CA-2017-120999;2017-09-10;2017-09-15;Standard Class;LC-16930;Anne Wu;60540,Naperville;TEC-PH-10004093;147.17;4;0.2;16.56;42
CA-2016-101343;2016-07-17;2016-07-22;Standard Class;RA-19885;Mary Gerrard;90049,Los Angeles;OFF-ST-10003479;77.88;2;0.0;3.89;43
CA-2017-139619;2017-09-19;2017-09-23;Standard Class;ES-14080;Sheila Stones;32935,Melbourne;OFF-ST-10003282;-95.62;2;0.2;9.56;44
CA-2016-118255;2016-03-11;2016-03-13;First Class;ON-18715;Jimmy Grey;55122,Eagan;TEC-AC-10000171;45.98;2;0.0;19.77;45
CA-2016-118255;2016-03-11;2016-03-13;First Class;ON-18715;Sheila Stones;55122,Eagan;OFF-BI-10003291;17.46;2;0.0;8.21;46
CA-2014-146703;2014-10-20;2014-10-25;Second Class;PO-18865;Organic;48185,Westland;OFF-ST-10001713;211.96;4;0.0;8.48;47
CA-2016-169194;2016-06-20;2016-06-25;Standard Class;LH-16900;Organic;19901,Dover;TEC-AC-10002167;45.0;3;0.0;4.95;48
CA-2016-169194;2016-06-20;2016-06-25;Standard Class;LH-16900;Organic;19901,Dover;TEC-PH-10003988;21.8;2;0.0;6.1;49
CA-2015-115742;2015-04-18;2015-04-22;Standard Class;DP-13000;Organic;47150,New Albany;OFF-BI-10004410;38.22;6;0.0;17.96;50
CA-2015-115742;2015-04-18;2015-04-22;Standard Class;DP-13000;Organic;47150,New Albany;OFF-LA-10002762;75.18;6;0.0;35.33;51
CA-2015-115742;2015-04-18;2015-04-22;Standard Class;DP-13000;Organic;47150,New Albany;FUR-FU-10001706;6.16;2;0.0;2.96;52
CA-2015-115742;2015-04-18;2015-04-22;Standard Class;DP-13000;Organic;47150,New Albany;FUR-CH-10003061;89.99;1;0.0;17.1;53
CA-2016-105816;2016-12-11;2016-12-17;Standard Class;JM-15265;Jessica Smith;10024,New York City;OFF-FA-10000304;15.26;7;0.0;6.26;54
CA-2016-105816;2016-12-11;2016-12-17;Standard Class;JM-15265;Morris Garcia;10024,New York City;TEC-PH-10002447;1029.95;5;0.0;298.69;55
CA-2016-111682;2016-06-17;2016-06-18;First Class;TB-21055;Organic;12180,Troy;OFF-ST-10000604;208.56;6;0.0;52.14;56
CA-2016-111682;2016-06-17;2016-06-18;First Class;TB-21055;Organic;12180,Troy;OFF-PA-10001569;32.4;5;0.0;15.55;57
CA-2016-111682;2016-06-17;2016-06-18;First Class;TB-21055;Organic;12180,Troy;FUR-CH-10003968;319.41;5;0.1;7.1;58
CA-2016-111682;2016-06-17;2016-06-18;First Class;TB-21055;Organic;12180,Troy;OFF-PA-10000587;14.56;2;0.0;6.99;59
CA-2016-111682;2016-06-17;2016-06-18;First Class;TB-21055;Organic;12180,Troy;TEC-AC-10002167;30.0;2;0.0;3.3;60
CA-2016-111682;2016-06-17;2016-06-18;First Class;TB-21055;Organic;12180,Troy;OFF-BI-10001460;48.48;4;0.2;16.36;61
CA-2016-111682;2016-06-17;2016-06-18;First Class;TB-21055;Organic;12180,Troy;OFF-AR-10001868;1.68;1;0.0;0.84;62
CA-2015-135545;2015-11-24;2015-11-30;Standard Class;KM-16720;Organic;90004,Los Angeles;TEC-AC-10004633;13.98;2;0.0;6.15;63
CA-2015-135545;2015-11-24;2015-11-30;Standard Class;KM-16720;Organic;90004,Los Angeles;OFF-BI-10001078;25.82;6;0.2;9.36;64
CA-2015-135545;2015-11-24;2015-11-30;Standard Class;KM-16720;Organic;90004,Los Angeles;OFF-PA-10003892;146.73;3;0.0;68.96;65
CA-2015-135545;2015-11-24;2015-11-30;Standard Class;KM-16720;Organic;90004,Los Angeles;FUR-FU-10000397;79.76;4;0.0;22.33;66
US-2015-164175;2015-04-30;2015-05-05;Standard Class;PS-18970;Organic;60610,Chicago;FUR-CH-10001146;213.12;5;0.3;-15.22;67
CA-2014-106376;2014-12-05;2014-12-10;Standard Class;BS-11590;Sheila Stones;85234,Gilbert;OFF-AR-10002671;1113.02;8;0.2;111.3;68
CA-2014-106376;2014-12-05;2014-12-10;Standard Class;BS-11590;Jessica Smith;85234,Gilbert;TEC-PH-10002726;167.97;4;0.2;62.99;69
CA-2016-119823;2016-06-04;2016-06-06;First Class;KD-16270;Organic;22153,Springfield;OFF-PA-10000482;75.88;2;0.0;35.66;70
CA-2016-106075;2016-09-18;2016-09-23;Standard Class;HM-14980;Organic;10009,New York City;OFF-BI-10004654;4.62;1;0.2;1.73;71
CA-2017-114440;2017-09-14;2017-09-17;Second Class;TB-21520;Organic;49201,Jackson;OFF-PA-10004675;19.05;3;0.0;8.76;72
US-2015-134026;2015-04-26;2015-05-02;Standard Class;JE-15745;Organic;38109,Memphis;FUR-CH-10000513;831.94;8;0.2;-114.39;73
US-2015-134026;2015-04-26;2015-05-02;Standard Class;JE-15745;Organic;38109,Memphis;FUR-FU-10003708;97.04;2;0.2;1.21;74
US-2015-134026;2015-04-26;2015-05-02;Standard Class;JE-15745;Organic;38109,Memphis;OFF-ST-10004123;72.78;1;0.2;-18.2;75
US-2017-118038;2017-12-09;2017-12-11;First Class;KB-16600;Mary Gerrard;77041,Houston;OFF-BI-10004182;1.25;3;0.8;-1.93;76
US-2017-118038;2017-12-09;2017-12-11;First Class;KB-16600;Stella Given;77041,Houston;FUR-FU-10000260;9.71;3;0.6;-5.82;77
US-2017-118038;2017-12-09;2017-12-11;First Class;KB-16600;Alan Ray;77041,Houston;OFF-ST-10000615;27.24;3;0.2;2.72;78
US-2014-147606;2014-11-26;2014-12-01;Second Class;JE-15745;Organic;77070,Houston;FUR-FU-10003194;19.3;5;0.6;-14.48;79
CA-2016-127208;2016-06-12;2016-06-15;First Class;SC-20770;Anne Wu;35601,Decatur;OFF-AP-10002118;208.16;1;0.0;56.2;80
CA-2016-127208;2016-06-12;2016-06-15;First Class;SC-20770;Alan Ray;35601,Decatur;OFF-BI-10002309;16.74;3;0.0;8.04;81
CA-2014-139451;2014-10-12;2014-10-16;Standard Class;DN-13690;Organic;94122,San Francisco;OFF-AR-10002053;14.9;5;0.0;4.17;82
CA-2014-139451;2014-10-12;2014-10-16;Standard Class;DN-13690;Organic;94122,San Francisco;OFF-ST-10002370;21.39;1;0.0;6.2;83
CA-2015-149734;2015-09-03;2015-09-08;Standard Class;JC-16105;Steve Pepple;27707,Durham;OFF-EN-10000927;200.98;7;0.2;62.81;84
US-2017-119662;2017-11-13;2017-11-16;First Class;CS-12400;Organic;60623,Chicago;OFF-ST-10003656;230.38;3;0.2;-48.95;85
CA-2017-140088;2017-05-28;2017-05-30;Second Class;PO-18865;Organic;29203,Columbia;FUR-CH-10000863;301.96;2;0.0;33.22;86
CA-2017-155558;2017-10-26;2017-11-02;Standard Class;PG-18895;Organic;55901,Rochester;TEC-AC-10001998;19.99;1;0.0;6.8;87
CA-2017-155558;2017-10-26;2017-11-02;Standard Class;PG-18895;Organic;55901,Rochester;OFF-LA-10000134;6.16;2;0.0;2.96;88
CA-2016-159695;2016-04-05;2016-04-10;Second Class;GM-14455;Organic;77095,Houston;OFF-ST-10003442;158.37;7;0.2;13.86;89
CA-2016-109806;2016-09-17;2016-09-22;Standard Class;JS-15685;Stella Given;90036,Los Angeles;OFF-AR-10004930;20.1;3;0.0;6.63;90
CA-2016-109806;2016-09-17;2016-09-22;Standard Class;JS-15685;Daniel Gates;90036,Los Angeles;TEC-PH-10004093;73.58;2;0.2;8.28;91
CA-2016-109806;2016-09-17;2016-09-22;Standard Class;JS-15685;Mary Gerrard;90036,Los Angeles;OFF-PA-10000304;6.48;1;0.0;3.11;92
CA-2015-149587;2015-01-31;2015-02-05;Second Class;KB-16315;Organic;55407,Minneapolis;OFF-PA-10003177;12.96;2;0.0;6.22;93
CA-2015-149587;2015-01-31;2015-02-05;Second Class;KB-16315;Organic;55407,Minneapolis;FUR-FU-10003799;53.34;3;0.0;16.54;94
CA-2015-149587;2015-01-31;2015-02-05;Second Class;KB-16315;Organic;55407,Minneapolis;OFF-BI-10002852;32.96;2;0.0;16.15;95
US-2017-109484;2017-11-06;2017-11-12;Standard Class;RB-19705;Alan Ray;97206,Portland;OFF-BI-10004738;5.68;1;0.7;-3.79;96
CA-2017-161018;2017-11-09;2017-11-11;Second Class;PN-18775;Organic;10009,New York City;FUR-FU-10000629;96.53;7;0.0;40.54;97
CA-2017-157833;2017-06-17;2017-06-20;First Class;KD-16345;Organic;94122,San Francisco;OFF-BI-10001721;51.31;3;0.2;17.96;98
CA-2016-149223;2016-09-06;2016-09-11;Standard Class;ER-13855;Thompson Crawford;55106,Saint Paul;OFF-AP-10000358;77.88;6;0.0;22.59;99
CA-2016-158568;2016-08-29;2016-09-02;Standard Class;RB-19465;Organic;60610,Chicago;OFF-PA-10003256;64.62;7;0.2;22.62;100
CA-2016-158568;2016-08-29;2016-09-02;Standard Class;RB-19465;Organic;60610,Chicago;TEC-AC-10001767;95.98;3;0.2;-10.8;101
CA-2016-158568;2016-08-29;2016-09-02;Standard Class;RB-19465;Organic;60610,Chicago;OFF-BI-10002609;1.79;3;0.8;-3.04;102
CA-2016-129903;2016-12-01;2016-12-04;Second Class;GZ-14470;Organic;55901,Rochester;OFF-PA-10004040;23.92;4;0.0;11.72;103
US-2015-156867;2015-11-13;2015-11-17;Standard Class;LC-16870;Organic;80013,Aurora;TEC-AC-10001552;238.9;6;0.2;-26.88;104
US-2015-156867;2015-11-13;2015-11-17;Standard Class;LC-16870;Organic;80013,Aurora;FUR-FU-10004006;102.36;3;0.2;-3.84;105
US-2015-156867;2015-11-13;2015-11-17;Standard Class;LC-16870;Organic;80013,Aurora;OFF-BI-10002794;36.88;3;0.7;-25.82;106
CA-2017-119004;2017-11-23;2017-11-28;Standard Class;JM-15250;Organic;28205,Charlotte;TEC-AC-10003499;74.11;8;0.2;17.6;107
CA-2017-119004;2017-11-23;2017-11-28;Standard Class;JM-15250;Organic;28205,Charlotte;TEC-PH-10002844;27.99;1;0.2;2.1;108
CA-2017-119004;2017-11-23;2017-11-28;Standard Class;JM-15250;Organic;28205,Charlotte;OFF-AR-10000390;3.3;1;0.2;1.07;109
CA-2015-129476;2015-10-15;2015-10-20;Standard Class;PA-19060;Organic;60462,Orland Park;TEC-AC-10000844;339.96;5;0.2;67.99;110
CA-2017-146780;2017-12-25;2017-12-30;Standard Class;CV-12805;Abigail Thompson;10035,New York City;FUR-FU-10001934;41.96;2;0.0;10.91;111
CA-2016-128867;2016-11-03;2016-11-10;Standard Class;CL-12565;Organic;50322,Urbandale;OFF-AR-10000380;75.96;2;0.0;22.79;112
CA-2016-128867;2016-11-03;2016-11-10;Standard Class;CL-12565;Organic;50322,Urbandale;OFF-BI-10003981;27.24;6;0.0;13.35;113
CA-2014-115259;2014-08-25;2014-08-27;Second Class;RC-19960;Organic;43229,Columbus;OFF-FA-10000621;40.1;14;0.2;14.53;114
CA-2014-115259;2014-08-25;2014-08-27;Second Class;RC-19960;Organic;43229,Columbus;OFF-EN-10002600;4.72;2;0.2;1.65;115
CA-2014-115259;2014-08-25;2014-08-27;Second Class;RC-19960;Organic;43229,Columbus;OFF-PA-10004965;23.98;3;0.2;7.49;116
CA-2014-115259;2014-08-25;2014-08-27;Second Class;RC-19960;Organic;43229,Columbus;OFF-EN-10002504;130.46;6;0.2;44.03;117
CA-2015-110457;2015-03-02;2015-03-06;Standard Class;DK-13090;Organic;98103,Seattle;FUR-TA-10001768;787.53;3;0.0;165.38;118
US-2015-136476;2015-04-05;2015-04-10;Standard Class;GG-14650;Mary Gerrard;37620,Bristol;OFF-BI-10003650;157.79;1;0.7;-115.72;119
CA-2016-103730;2016-06-12;2016-06-15;First Class;SC-20725;Organic;19805,Wilmington;FUR-FU-10002157;47.04;3;0.0;18.35;120
CA-2016-103730;2016-06-12;2016-06-15;First Class;SC-20725;Organic;19805,Wilmington;OFF-BI-10003910;30.84;4;0.0;13.88;121
CA-2016-103730;2016-06-12;2016-06-15;First Class;SC-20725;Organic;19805,Wilmington;OFF-ST-10000777;226.56;6;0.0;63.44;122
CA-2016-103730;2016-06-12;2016-06-15;First Class;SC-20725;Organic;19805,Wilmington;OFF-EN-10002500;115.02;9;0.0;51.76;123
CA-2016-103730;2016-06-12;2016-06-15;First Class;SC-20725;Organic;19805,Wilmington;TEC-PH-10003875;68.04;7;0.0;19.73;124
US-2014-152030;2014-12-26;2014-12-28;Second Class;AD-10180;Organic;77041,Houston;FUR-CH-10004063;600.56;3;0.3;-8.58;125
US-2014-134614;2014-09-20;2014-09-25;Standard Class;PF-19165;Organic;61701,Bloomington;FUR-TA-10004534;617.7;6;0.5;-407.68;126
US-2017-107272;2017-11-05;2017-11-12;Standard Class;TS-21610;Organic;85023,Phoenix;OFF-BI-10003274;2.39;2;0.7;-1.83;127
US-2017-107272;2017-11-05;2017-11-12;Standard Class;TS-21610;Organic;85023,Phoenix;OFF-ST-10002974;243.99;7;0.2;30.5;128
US-2016-125969;2016-11-06;2016-11-10;Second Class;LS-16975;Alan Ray;90004,Los Angeles;FUR-CH-10001146;81.42;2;0.2;-9.16;129
US-2016-125969;2016-11-06;2016-11-10;Second Class;LS-16975;Organic;90004,Los Angeles;FUR-FU-10003773;238.56;3;0.0;26.24;130
US-2017-164147;2017-02-02;2017-02-05;First Class;DW-13585;Morris Garcia;43229,Columbus;TEC-PH-10002293;59.97;5;0.4;-11.99;131
US-2017-164147;2017-02-02;2017-02-05;First Class;DW-13585;Abigail Thompson;43229,Columbus;OFF-PA-10002377;78.3;2;0.2;29.36;132
US-2017-164147;2017-02-02;2017-02-05;First Class;DW-13585;Erica Jones;43229,Columbus;OFF-FA-10002780;21.46;9;0.2;6.97;133
CA-2016-145583;2016-10-13;2016-10-19;Standard Class;LC-16885;Organic;95661,Roseville;OFF-PA-10001804;20.04;3;0.0;9.62;134
CA-2016-145583;2016-10-13;2016-10-19;Standard Class;LC-16885;Organic;95661,Roseville;OFF-PA-10001736;35.44;1;0.0;16.66;135
CA-2016-145583;2016-10-13;2016-10-19;Standard Class;LC-16885;Organic;95661,Roseville;OFF-AR-10001149;11.52;4;0.0;3.46;136
CA-2016-145583;2016-10-13;2016-10-19;Standard Class;LC-16885;Organic;95661,Roseville;OFF-FA-10002988;4.02;2;0.0;1.97;137
CA-2016-145583;2016-10-13;2016-10-19;Standard Class;LC-16885;Organic;95661,Roseville;OFF-BI-10004781;76.18;3;0.2;26.66;138
CA-2016-145583;2016-10-13;2016-10-19;Standard Class;LC-16885;Organic;95661,Roseville;OFF-SU-10001218;65.88;6;0.0;18.45;139
CA-2016-145583;2016-10-13;2016-10-19;Standard Class;LC-16885;Organic;95661,Roseville;FUR-FU-10001706;43.12;14;0.0;20.7;140
CA-2016-110366;2016-09-05;2016-09-07;Second Class;JD-15895;Sheila Stones;19140,Philadelphia;FUR-FU-10004848;82.8;2;0.2;10.35;141
CA-2017-106180;2017-09-18;2017-09-23;Standard Class;SH-19975;Jimmy Grey;94122,San Francisco;OFF-AR-10000940;8.82;3;0.0;2.38;142
CA-2017-106180;2017-09-18;2017-09-23;Standard Class;SH-19975;Anne Wu;94122,San Francisco;OFF-EN-10004030;10.86;3;0.0;5.1;143
CA-2017-106180;2017-09-18;2017-09-23;Standard Class;SH-19975;Abigail Thompson;94122,San Francisco;OFF-PA-10004327;143.7;3;0.0;68.98;144
CA-2017-155376;2017-12-22;2017-12-27;Standard Class;SG-20080;Organic;64055,Independence;OFF-AP-10001058;839.43;3;0.0;218.25;145
CA-2015-110744;2015-09-07;2015-09-12;Standard Class;HA-14920;Organic;91104,Pasadena;OFF-ST-10003656;671.93;7;0.0;20.16;146
CA-2014-110072;2014-10-22;2014-10-28;Standard Class;MG-17680;Organic;43055,Newark;FUR-FU-10000521;93.89;4;0.2;12.91;147
CA-2016-114489;2016-12-05;2016-12-09;Standard Class;JE-16165;Mary Gerrard;53132,Franklin;TEC-PH-10000215;384.45;11;0.0;103.8;148
CA-2016-114489;2016-12-05;2016-12-09;Standard Class;JE-16165;Anne Wu;53132,Franklin;TEC-PH-10001448;149.97;3;0.0;6.0;149
CA-2016-114489;2016-12-05;2016-12-09;Standard Class;JE-16165;Alan Ray;53132,Franklin;FUR-CH-10000454;1951.84;8;0.0;585.55;150
CA-2016-114489;2016-12-05;2016-12-09;Standard Class;JE-16165;Thompson Crawford;53132,Franklin;OFF-BI-10002735;171.55;5;0.0;80.63;151
CA-2016-158834;2016-03-13;2016-03-16;First Class;TW-21025;Organic;85254,Scottsdale;OFF-AP-10000326;157.92;5;0.2;17.77;152
CA-2016-158834;2016-03-13;2016-03-16;First Class;TW-21025;Organic;85254,Scottsdale;TEC-PH-10001254;203.18;2;0.2;15.24;153
CA-2015-124919;2015-05-31;2015-06-02;First Class;SP-20650;Jimmy Grey;95123,San Jose;OFF-PA-10001950;58.38;7;0.0;26.27;154
CA-2015-124919;2015-05-31;2015-06-02;First Class;SP-20650;Stella Given;95123,San Jose;OFF-PA-10002254;105.52;4;0.0;48.54;155
CA-2015-124919;2015-05-31;2015-06-02;First Class;SP-20650;Morris Garcia;95123,San Jose;OFF-ST-10001590;80.88;6;0.0;21.03;156
CA-2015-118948;2015-05-28;2015-06-03;Standard Class;NK-18490;Organic;98105,Seattle;OFF-AR-10001547;6.63;3;0.0;1.79;157
CA-2014-104269;2014-03-01;2014-03-06;Second Class;DB-13060;Organic;98115,Seattle;FUR-CH-10004063;457.57;2;0.2;51.48;158
CA-2016-114104;2016-11-20;2016-11-24;Standard Class;NP-18670;Organic;73034,Edmond;OFF-LA-10002475;14.62;2;0.0;6.87;159
CA-2016-114104;2016-11-20;2016-11-24;Standard Class;NP-18670;Organic;73034,Edmond;TEC-PH-10004536;944.93;7;0.0;236.23;160
CA-2016-162733;2016-05-11;2016-05-12;First Class;TT-21070;Organic;90045,Los Angeles;OFF-PA-10002751;5.98;1;0.0;2.69;161
CA-2015-119697;2015-12-28;2015-12-31;Second Class;EM-13960;Organic;19134,Philadelphia;TEC-AC-10003657;54.38;2;0.2;1.36;162
CA-2016-154508;2016-11-16;2016-11-20;Standard Class;RD-19900;Organic;88220,Carlsbad;OFF-EN-10001990;28.4;5;0.0;13.35;163
CA-2016-113817;2016-11-07;2016-11-11;Standard Class;MJ-17740;Organic;98115,Seattle;OFF-BI-10004002;27.68;2;0.2;9.69;164
CA-2014-139892;2014-09-08;2014-09-12;Standard Class;BM-11140;Organic;78207,San Antonio;OFF-AR-10004441;9.94;3;0.2;2.73;165
CA-2014-139892;2014-09-08;2014-09-12;Standard Class;BM-11140;Organic;78207,San Antonio;TEC-MA-10000822;8159.95;8;0.4;-1359.99;166
CA-2014-139892;2014-09-08;2014-09-12;Standard Class;BM-11140;Organic;78207,San Antonio;OFF-ST-10000991;275.93;3;0.2;-58.63;167
CA-2014-139892;2014-09-08;2014-09-12;Standard Class;BM-11140;Organic;78207,San Antonio;FUR-CH-10004287;1740.06;9;0.3;-24.86;168
CA-2014-139892;2014-09-08;2014-09-12;Standard Class;BM-11140;Organic;78207,San Antonio;OFF-AR-10002656;32.06;6;0.2;6.81;169
CA-2014-139892;2014-09-08;2014-09-12;Standard Class;BM-11140;Organic;78207,San Antonio;OFF-AP-10002518;177.98;5;0.8;-453.85;170
CA-2014-139892;2014-09-08;2014-09-12;Standard Class;BM-11140;Organic;78207,San Antonio;TEC-PH-10003931;143.98;3;0.2;9.0;171
CA-2014-118962;2014-08-05;2014-08-09;Standard Class;CS-12130;Organic;90004,Los Angeles;OFF-PA-10000659;20.94;3;0.0;9.84;172
CA-2014-118962;2014-08-05;2014-08-09;Standard Class;CS-12130;Organic;90004,Los Angeles;OFF-PA-10001144;110.96;2;0.0;53.26;173
CA-2014-118962;2014-08-05;2014-08-09;Standard Class;CS-12130;Organic;90004,Los Angeles;FUR-CH-10003817;340.14;7;0.2;21.26;174
US-2014-100853;2014-09-14;2014-09-19;Standard Class;JB-15400;Sheila Stones;60623,Chicago;OFF-AP-10000891;52.45;2;0.8;-131.12;175
US-2014-100853;2014-09-14;2014-09-19;Standard Class;JB-15400;Daniel Gates;60623,Chicago;OFF-LA-10003148;20.16;4;0.2;6.55;176
US-2017-152366;2017-04-21;2017-04-25;Second Class;SJ-20500;Organic;77036,Houston;OFF-AP-10002684;97.26;4;0.8;-243.16;177
US-2015-101511;2015-11-21;2015-11-23;Second Class;JE-15745;Organic;43055,Newark;FUR-CH-10004698;396.8;7;0.3;-11.34;178
US-2015-101511;2015-11-21;2015-11-23;Second Class;JE-15745;Organic;43055,Newark;OFF-SU-10002189;15.88;5;0.2;-3.77;179
CA-2015-137225;2015-12-15;2015-12-19;Standard Class;JK-15640;Organic;10009,New York City;OFF-AR-10001940;3.28;1;0.0;1.41;180
CA-2014-166191;2014-12-05;2014-12-09;Second Class;DK-13150;Abigail Thompson;62521,Decatur;OFF-ST-10003455;24.82;2;0.2;1.86;181
CA-2014-166191;2014-12-05;2014-12-09;Second Class;DK-13150;Steve Pepple;62521,Decatur;TEC-AC-10004659;408.74;7;0.2;76.64;182
CA-2014-158274;2014-11-19;2014-11-24;Second Class;RM-19675;Organic;71203,Monroe;TEC-PH-10003273;503.96;4;0.0;131.03;183
CA-2014-158274;2014-11-19;2014-11-24;Second Class;RM-19675;Organic;71203,Monroe;TEC-PH-10004896;149.95;5;0.0;41.99;184
CA-2014-158274;2014-11-19;2014-11-24;Second Class;RM-19675;Organic;71203,Monroe;TEC-AC-10002345;29.0;2;0.0;7.25;185
